,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,OverNO
35,4,1503,1,54,South Africa (Women),Marizanne Kapp,Radha Yadav,,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.4,1,1,0,484429,49.00,110.50,0,0,,10,ORTHODOX,47,FRONTFOOT ON DRIVE,0,0,4,5,64,1,Outside Off stump,Full Toss,0,0,1,0,0,0,0,0,
36,5,1503,1,54,South Africa (Women),Marizanne Kapp,Radha Yadav,,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,5.5,1,1,0,484431,-78.00,-29.50,0,0,,10,ORTHODOX,36,CUT SHOT,0,0,5,5,64,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
37,6,1503,1,54,South Africa (Women),Marizanne Kapp,Radha Yadav,,6,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,5.6,1,1,0,484433,-60.00,172.00,2,0,,10,ORTHODOX,5,LOFTED OFF DRIVE,0,0,6,5,66,1,Outside Off stump,Full Length,0,0,1,0,0,0,0,0,
38,1,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.1,1,1,0,484436,98.00,-30.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,1,6,67,1,Off stump,Good Length,1,0,1,0,0,0,0,0,
39,2,1503,1,54,South Africa (Women),Marizanne Kapp,Deepti Sharma,,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.2,1,1,0,484439,74.50,166.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,6,68,1,Off stump,Good Length,0,0,1,0,0,0,0,0,
40,3,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,7,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.3,1,1,0,484441,154.50,79.50,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,3,6,69,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
41,4,1503,1,54,South Africa (Women),Marizanne Kapp,Deepti Sharma,,7,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,6.4,1,1,0,484443,151.00,81.50,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,4,6,70,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
42,5,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.5,1,1,0,484444,-69.00,47.50,0,0,,25,OFF SPIN,52,BACKFOOT COVERDRIVE,0,0,5,6,70,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
43,6,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,6.6,1,1,0,484445,-64.50,47.00,0,0,,25,OFF SPIN,89,STEP DOWN COVER DRIVE,0,0,6,6,70,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
44,1,1503,1,54,South Africa (Women),Marizanne Kapp,Shreyanka Patil,,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.1,1,1,0,484448,-32.00,-49.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,1,7,71,1,Outside Off stump,Short of Good Length,1,0,1,0,0,0,0,0,
45,2,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,7.2,1,1,0,484450,50.00,99.00,0,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,7,71,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
46,3,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,8,3,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,0,,,0,7.3,1,1,1,484451,50.00,99.00,1,0,,25,OFF SPIN,37,STEP DOWN FLICK,0,0,3,7,72,1,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
47,4,1503,1,54,South Africa (Women),Marizanne Kapp,Shreyanka Patil,,8,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.4,1,1,0,484453,-147.00,-26.00,1,0,,25,OFF SPIN,16,BACKFOOT SQUARE DRIVE,0,0,4,7,73,1,Outside Leg stump,Short of Good Length,0,0,1,0,0,0,0,0,
48,5,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,8,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.5,1,1,0,484455,124.00,-25.50,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,5,7,74,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
49,6,1503,1,54,South Africa (Women),Marizanne Kapp,Shreyanka Patil,,8,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,7.6,1,1,0,484456,112.50,122.50,1,0,,25,OFF SPIN,95,SLOG SWEEP,0,0,6,7,75,1,Leg stump,Full Length,0,0,1,0,0,0,0,0,
50,1,1503,1,54,South Africa (Women),Marizanne Kapp,Deepti Sharma,,9,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,8.1,1,1,0,484457,-49.50,103.00,0,0,,25,OFF SPIN,122,STEP DOWN LOFTED OFF DRIVE,0,0,1,8,75,2,Outside Off stump,Good Length,1,0,1,0,0,0,0,0,
51,2,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,9,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.2,1,1,0,484459,96.50,146.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,8,76,2,Outside Off stump,Short of Good Length,2,0,1,0,0,0,0,0,
52,3,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,9,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.3,1,1,0,484461,86.50,153.50,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,3,8,77,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
53,4,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,9,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.4,1,1,0,484464,63.00,47.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,4,8,78,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
54,5,1503,1,54,South Africa (Women),Tazmin Brits,Deepti Sharma,,9,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,8.5,1,1,0,484466,70.00,166.00,1,0,,25,OFF SPIN,74,STEP DOWN ON DRIVE,0,0,5,8,79,2,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
55,6,1503,1,54,South Africa (Women),Anneke Bosch,Deepti Sharma,,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,8.6,1,1,0,484468,51.50,-54.00,0,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,6,8,79,2,Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
56,1,1503,1,54,South Africa (Women),Tazmin Brits,Radha Yadav,,10,1,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,9.1,1,1,0,484471,163.00,146.00,6,0,,10,ORTHODOX,94,STEP DOWN LOFTED ON DRIVE,0,0,1,9,85,2,Middle stump,Full Length,1,0,1,0,0,0,0,0,
57,2,1503,1,54,South Africa (Women),Tazmin Brits,Radha Yadav,,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,9.2,1,1,0,484473,-73.00,47.00,0,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,2,9,85,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
58,3,1503,1,54,South Africa (Women),Tazmin Brits,Radha Yadav,,10,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,9.3,1,1,0,484475,-153.00,43.00,1,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,3,9,86,2,Outside Off stump,Good Length,0,0,1,0,0,0,0,0,
59,4,1503,1,54,South Africa (Women),Anneke Bosch,Radha Yadav,,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,9.4,1,1,0,484477,-68.50,49.50,0,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,4,9,86,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
60,5,1503,1,54,South Africa (Women),Anneke Bosch,Radha Yadav,,10,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,9.5,1,1,0,484479,131.50,36.50,1,0,,10,ORTHODOX,97,BACKFOOT PUSH,0,0,5,9,87,2,Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
61,6,1503,1,54,South Africa (Women),Tazmin Brits,Radha Yadav,,10,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,,0,9.6,1,1,0,484481,-157.50,89.50,2,0,,10,ORTHODOX,52,BACKFOOT COVERDRIVE,0,0,6,9,89,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
62,1,1503,1,54,South Africa (Women),Anneke Bosch,Pooja Vastrakar,,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,10.1,1,1,0,484486,-157.50,89.50,0,0,,38,STRAIGHT BALL,105,LEFT ALONE,0,0,1,10,89,2,Outside Off stump,Short Length,1,0,1,0,0,0,0,0,
63,2,1503,1,54,South Africa (Women),Anneke Bosch,Pooja Vastrakar,,11,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,10.2,1,1,0,484489,64.50,220.50,4,0,,39,ANGLED IN,47,FRONTFOOT ON DRIVE,0,0,2,10,93,2,Off stump,Full Length,0,0,1,0,0,0,0,0,
64,3,1503,1,54,South Africa (Women),Anneke Bosch,Pooja Vastrakar,,11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,10.3,1,1,0,484490,-80.00,-23.50,0,0,,39,ANGLED IN,44,GLIDE,0,0,3,10,93,2,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
